iteration,mae,mse,rmse,psnr,ssim
iteration_2500,0.018085351,0.001122684,0.033506475,29.497421883342426,0.6879377580782668
iteration_5000,0.01787158,0.001093695,0.03307106,29.611035674048317,0.6853878877689276
iteration_7500,0.017960597,0.0011085555,0.033294976,29.552429312031315,0.6866933538990746
iteration_10000,0.018059965,0.0011236494,0.03352088,29.493703599981913,0.702985723285752
